time_step,corrected_at_t0,corrected_at_t1,corrected_at_t2,corrected_at_t3,corrected_at_t4,corrected_at_t5,corrected_at_t6,corrected_at_t7,corrected_at_t8,corrected_at_t9,corrected_at_t10,corrected_at_t11,corrected_at_t12,corrected_at_t13,corrected_at_t14,corrected_at_t15,corrected_at_t16,corrected_at_t17,corrected_at_t18,corrected_at_t19,corrected_at_t20,corrected_at_t21,corrected_at_t22,corrected_at_t23,corrected_at_t24,corrected_at_t25,corrected_at_t26,corrected_at_t27,corrected_at_t28,corrected_at_t29,corrected_at_t30,corrected_at_t31,corrected_at_t32,corrected_at_t33,corrected_at_t34,corrected_at_t35,corrected_at_t36,corrected_at_t37,corrected_at_t38,corrected_at_t39,corrected_at_t40,corrected_at_t41,corrected_at_t42,corrected_at_t43,corrected_at_t44,corrected_at_t45,corrected_at_t46,corrected_at_t47,corrected_at_t48,corrected_at_t49,corrected_at_t50,corrected_at_t51
-1,1.3424503967550463,1.402932741278182,1.4214680628142404,1.4496735010305704,1.4421557508508454,1.455212477497453,1.4585986696455835,1.4654482960936197,1.4794904707321312,1.473398418765824,1.4714620888158667,1.4842635412323095,1.4703176624070124,1.4844400867809475,1.4801414500514718,1.479035390490835,1.4837006108583295,1.4836381672370986,1.487971822229529,1.4865696166676845,1.4853421753511058,1.482540342329121,1.4810421947027743,1.4886157783642338,1.495597067749817,1.4857157339195015,1.4888173736889767,1.4912151244863965,1.4902696771764037,1.4924632145963632,1.4872806625825197,1.4916745878777524,1.4916818476448337,1.4914006796685872,1.4953176606380367,1.4922324660235065,1.4910761083017985,1.4929070220027354,1.4973225591824415,1.4922066117508543,1.4874636945051702,1.4938928652612622,1.4894333775308986,1.492278169325818,1.488737743739481,1.49570304690475,1.4878523214907864,1.4893319694814662,1.4920169952658289,1.4944907348452603,,
0,1.3765522209967864,1.4255451591630883,1.4235421448841714,1.4588124949508885,1.461405192913466,1.4541273599590343,1.4545501207914326,1.4729558397385398,1.483228927414689,1.482162153611927,1.469088174063876,1.4748466757412697,1.4809829947944464,1.4888485253766066,1.477045731232674,1.4855230303547793,1.4863606075470983,1.4777940070638182,1.4909600123512716,1.4864123999537877,1.4896338825882738,1.484419842353248,1.4812682187242787,1.4917360650151126,1.4878526853094347,1.4873292767617488,1.4863891629088646,1.4857242747742456,1.4959962237227629,1.4953525597000257,1.4856188671663613,1.49973185146812,1.491527932494118,1.496877936168258,1.4889406018413731,1.492533908121195,1.4921766461973625,1.4921070386168152,1.4946844806240804,1.4930382777703075,1.4902615106081367,1.494577326869837,1.4893529742610403,1.4938561404099162,1.492108571214269,1.4891533921300395,1.4907635519288696,1.490358865531624,1.4943976330101,1.498493395878564,1.5,
1,,1.3905247173105622,1.420982333940806,1.4433707722903544,1.4361546796546565,1.450361916564018,1.4492667314309586,1.4604208968309809,1.468403491405139,1.467783617247857,1.466115743819325,1.485631058645782,1.4793478734782328,1.4736527452432997,1.464630683167254,1.4917015750333376,1.473954679201618,1.4785564129206152,1.4781170944058994,1.4796470137542914,1.4815779063673118,1.4865079845854767,1.4779674022462723,1.4883780218102762,1.4870273463549153,1.4928192569589465,1.4876812658038363,1.4884224009717444,1.4827314296178282,1.48703291263201,1.481458695007621,1.4871484306950282,1.4917026382445209,1.4909514143027534,1.487011344449111,1.4904706999861084,1.491625066532018,1.4954108907726504,1.482203393500737,1.489476732361034,1.4894271658413454,1.486784985429354,1.490763224256157,1.4869012516617977,1.4896665984220556,1.4887715293077002,1.4819890232867887,1.4918053839433036,1.4959453744490938,1.494383939847361,1.5,1.5
2,,,1.4530100761126148,1.4302833469125729,1.4607769904278027,1.4683474230710032,1.4732932020626313,1.4719456684634098,1.4797018567443263,1.4818419833024838,1.4837992088875087,1.475838619414815,1.479124534580041,1.479285778700503,1.494653697513837,1.4811807036433489,1.4858917407834515,1.4799880066690714,1.4929758418694783,1.484554736400708,1.4885119382052991,1.4896256445690192,1.48716391961509,1.4900529022133808,1.4902479610104904,1.4892829135434629,1.4938697351395136,1.4904793139992885,1.492182910775176,1.483814412486789,1.4957801044701724,1.493789598617742,1.494601013608102,1.485721823434632,1.4940033221186284,1.492877151441253,1.4921660186125223,1.4867087532767675,1.4971196756060825,1.487737696959338,1.4939515659597054,1.489900272300537,1.4940322749598696,1.488012730376174,1.4921702773751224,1.4853919325693907,1.4921763114615862,1.497833028643045,1.4963094962374006,1.4922944665433158,1.5,1.5
3,,,,1.4368625025674473,1.4641399662517005,1.459845778110453,1.462869395137336,1.487321270151727,1.4683915171912147,1.4683315183762164,1.479967443759829,1.4752730078233365,1.4744087698603658,1.48378472864373,1.4851291633096126,1.4841516363935687,1.4884525584842585,1.4812543806504184,1.4803815981836326,1.4907536100088654,1.4819001686295448,1.4747678275516642,1.4917635481908742,1.4847419769263193,1.4880503535461582,1.4894896949288066,1.4857222731578736,1.490715321515738,1.4901264218709316,1.482928397704537,1.4918519434421122,1.4917813440067809,1.490189571900409,1.4908480802255162,1.4936766539730146,1.494065274815336,1.4898061240610545,1.4887212229948747,1.4894573294115607,1.4911411187198584,1.4897500488370488,1.4934068068617194,1.4852278155134095,1.495014052683318,1.4858757558872393,1.4861772654101688,1.4976767708623422,1.4961336910225118,1.492142526676758,1.4957018784562202,1.5,1.5
4,,,,,1.4543700376550812,1.4663236405521425,1.46899202664272,1.4667987813773873,1.470183510957818,1.4709459091485466,1.4774766009768203,1.4831866690672362,1.4881527936402392,1.4753539201861017,1.4877125578913726,1.486030940435357,1.4813661130523563,1.4839596465542104,1.480634366227906,1.48780769128929,1.4888475349547663,1.482537872433106,1.4923061839483411,1.4971476448844194,1.5003982843257135,1.4887361185953252,1.4906046844908687,1.4897520655163752,1.4853643916032873,1.4947653039099722,1.4940173665792726,1.493906445923031,1.4897260407025408,1.49727019882704,1.4954701953658334,1.486657542543305,1.493300136282931,1.4972324191788149,1.489645782827998,1.4969598426707167,1.4926549294755314,1.4925246898984077,1.4934752239627271,1.4893102928539617,1.4897613415425446,1.4981029620917925,1.4981712306311956,1.494169409169141,1.4977328901293392,1.4965409702048655,1.5,1.5
5,,,,,,1.46478402152345,1.4717156056107743,1.465538866969158,1.4755841910963856,1.4780519881843592,1.4706941071531197,1.4775756360313592,1.4778410109201237,1.4803976418993583,1.4840023938967697,1.4844933138732892,1.4724103895843432,1.4842995004040005,1.4882872975882362,1.4838114235838944,1.485530798350252,1.4879135884871286,1.4893761441328954,1.4950240786449855,1.4877281741029276,1.4928281810927286,1.489374771728698,1.485708914175014,1.4873924244811196,1.4895487708356945,1.4900850878831933,1.4931416658393108,1.4931541746582115,1.4952509886021224,1.487570608638269,1.49532979077688,1.4877677278612262,1.4903831021350238,1.4932027750022532,1.4914238733452228,1.4908717488918333,1.4897166242808335,1.4911483298488304,1.4891495536783887,1.4911636267207504,1.4969536530391911,1.4930077903184618,1.4965562031835242,1.4953703767893975,1.4939014597198574,1.5,1.5
6,,,,,,,1.4797168746966112,1.4652681396716227,1.4749678265822144,1.4655488361564593,1.4923177623932238,1.466867479046173,1.4849030932323473,1.4867849725295506,1.4889253283679726,1.4783467715610148,1.4761859017336978,1.4892428714130104,1.494163920909054,1.4864445037756804,1.4793505774230225,1.49027502359197,1.49237523348425,1.484588121659773,1.483066559789623,1.485687910394338,1.4899652736461195,1.4882727448328918,1.4914941691283683,1.488294026450315,1.4928358472502603,1.4879730980649803,1.4948499336607697,1.4849866633376545,1.4881726636864645,1.488255812868123,1.4940496499631342,1.487674148254977,1.494630243172272,1.4860090677913698,1.4929171092437548,1.4855622910851047,1.488488312278102,1.4905732455543952,1.4933355012003393,1.4909039696054385,1.49453264757619,1.493339163611075,1.4918973902677182,1.490539227134651,1.5,1.5
7,,,,,,,,1.4633051530974712,1.4505820079469958,1.4785031099892585,1.4700396082745617,1.4737467144905103,1.4731526880082708,1.4747542344534876,1.4784609303697072,1.469603586270554,1.4767714231281597,1.4764796599019478,1.475566487305218,1.4777382870158429,1.4844070482518985,1.4878942450243302,1.4894079437413994,1.4900184034575297,1.4840739166566896,1.480351665156492,1.4816342012444204,1.482784407397515,1.4766868077783688,1.4877221306455064,1.4901158448216516,1.4894201802947007,1.4834332195929003,1.4878315952515542,1.4890161597718854,1.483222887050452,1.487060481172005,1.4895635633949516,1.4834975425738208,1.489910345736309,1.4804481398201867,1.489002217897592,1.4885771735003153,1.484933291600557,1.4883150595476802,1.4919384581593118,1.490811372488814,1.489363117100606,1.4880484280388449,1.4862131204761917,1.5,1.5
8,,,,,,,,,1.4684714458268515,1.4736677443253137,1.4769784815200806,1.4808361905841596,1.4710228651539206,1.4758825176702284,1.4775083908597504,1.4833867310231024,1.4817538571065574,1.4804491701459104,1.4844460905524943,1.4852593315189158,1.491111060160174,1.4900678336464337,1.4881473371938403,1.4831732232528934,1.4891097578779326,1.4924367054899692,1.4831213096626146,1.489562515443679,1.4887765868436371,1.4942309433944925,1.4887112467001922,1.4874929659300464,1.4896385624044095,1.4863721016839782,1.4882242534837475,1.4951359775383006,1.4885331656436265,1.491177831282267,1.4895416207384495,1.4881222793375788,1.487913440559233,1.4924436330519282,1.4888094184169929,1.4890968664251996,1.4942990984901376,1.4931755927843542,1.491774436672236,1.4904185252709807,1.4886086655215465,1.4903101664844485,1.5,1.5
