history_lag,smoothed_alpha_mean
0,1.4919218100755163
1,1.4953009610222
2,1.498505864976843
3,1.4925499893761613
4,1.4911415403406787
5,1.4974686831046706
6,1.498144278873225
7,1.499922058701218
8,1.4965585763791656
9,1.4930988048598235
10,1.5003265006729645
11,1.4911479428214693
12,1.4933712308237803
13,1.4929599416613373
14,1.4947145888139564
15,1.492063511561681
16,1.4971276142827905
17,1.4929910805185733
18,1.481709199485326
19,1.4891992871678754
20,1.4861845760501313
21,1.490118037566032
22,1.4962159645953064
23,1.490112796319893
24,1.4916172875804428
25,1.4980218851383604
26,1.4944704985205761
27,1.4840218378687393
28,1.497086842788676
29,1.491177831282267
30,1.4895635633949516
31,1.487674148254977
32,1.4903831021350238
33,1.4972324191788149
34,1.4887212229948747
35,1.4867087532767675
36,1.4954108907726504
37,1.4921070386168152
38,1.4929070220027354
