Link 296430 ,Link 315945 ,Link 278924 ,Link 320227 ,Link 273098 ,Link 313062 ,Link 322476 ,Link 322481 ,Link 302025 ,Link 296664 ,Link 312191 ,Link 290617 ,Link 303810 ,Link 305388 ,Link 326294 ,Link 318438 ,Link 302269 ,Link 306265 ,Link 302739 ,Link 308554 ,
Output_0,Output_0,Output_0,Output_0,Output_0,Output_0,Output_0,Output_0,Output_0,Output_0,Output_0,Output_0,Output_0,Output_0,Output_0,Output_0,Output_0,Output_0,Output_0,Output_0,
1.000000e-02,1.000000e-02,1.000000e-02,1.000000e-02,1.000000e-02,1.000000e-02,1.000000e-02,1.000000e-02,1.000000e-02,1.000000e-02,1.000000e-02,1.000000e-02,1.000000e-02,1.000000e-02,1.000000e-02,1.000000e-02,1.000000e-02,1.000000e-02,1.000000e-02,1.000000e-02,
2.055662e-02,2.262643e-02,7.934821e-02,1.644831e-02,1.401493e-01,2.212429e-02,1.722057e-02,2.639623e-02,2.084180e-02,1.521329e-02,1.693848e-02,1.419695e-02,2.861279e-02,2.311459e-02,1.465310e-02,2.658310e-02,2.093492e-02,3.189460e-02,3.240531e-02,1.475155e-02,
5.291092e-02,5.631694e-02,2.551597e-01,4.063352e-02,1.116283e+00,5.480681e-02,3.381907e-02,4.331178e-02,7.540866e-02,2.792511e-02,2.857937e-02,2.065018e-02,5.739946e-02,7.955164e-02,1.885903e-02,5.431303e-02,4.960505e-02,8.181032e-02,7.094865e-02,3.449275e-02,
1.370089e-01,1.144722e-01,6.599177e-01,6.917223e-02,4.388507e+00,1.159211e-01,6.123760e-02,5.657391e-02,2.342879e-01,5.362038e-02,3.991938e-02,3.035593e-02,1.188564e-01,2.528669e-01,2.199758e-02,1.210568e-01,8.794349e-02,2.231614e-01,1.028146e-01,1.028541e-01,
3.210659e-01,2.544320e-01,1.549855e+00,1.271377e-01,1.138504e+01,2.976028e-01,1.176886e-01,7.954658e-02,5.996697e-01,1.334940e-01,6.242360e-02,4.906151e-02,2.513803e-01,6.190302e-01,3.745957e-02,2.674312e-01,1.488192e-01,5.760218e-01,1.601114e-01,2.865877e-01,
6.098645e-01,4.602424e-01,3.366141e+00,2.698990e-01,2.326813e+01,7.282008e-01,2.713006e-01,1.493518e-01,1.268381e+00,3.621028e-01,1.533725e-01,7.591834e-02,4.680535e-01,1.267534e+00,7.818203e-02,5.268626e-01,2.516577e-01,1.239413e+00,3.179401e-01,6.611560e-01,
1.019997e+00,7.504517e-01,6.360200e+00,5.769550e-01,4.010330e+01,1.777722e+00,7.767445e-01,3.250970e-01,2.295917e+00,8.846927e-01,3.926420e-01,1.099069e-01,7.877269e-01,2.285614e+00,1.363589e-01,1.051102e+00,4.233199e-01,2.302833e+00,7.676626e-01,1.222844e+00,
1.671286e+00,1.132236e+00,9.978875e+00,9.757191e-01,6.057966e+01,3.639129e+00,1.683742e+00,5.313096e-01,3.632059e+00,1.747695e+00,6.683584e-01,1.514822e-01,1.239789e+00,3.740219e+00,1.974269e-01,2.177682e+00,6.200532e-01,3.716933e+00,1.556836e+00,1.980090e+00,
2.747453e+00,1.667913e+00,1.293830e+01,1.247327e+00,7.966253e+01,6.277724e+00,2.977727e+00,6.658014e-01,5.221447e+00,2.833436e+00,8.618374e-01,2.149062e-01,1.657310e+00,5.609271e+00,2.654450e-01,4.103138e+00,8.002289e-01,5.503911e+00,2.322693e+00,2.780092e+00,
