history_lag,smoothed_alpha_mean
0,1.4969406486736896
1,1.4874351583652734
2,1.4922955152780615
3,1.4919819902332088
4,1.4921731409852108
5,1.495149430799814
6,1.4933475458633092
7,1.4859584217063664
8,1.4985098647849393
9,1.497246081288582
10,1.4929847987561982
11,1.4908200773447011
12,1.4985719716171906
13,1.4975957884392603
14,1.4910745375680499
15,1.494589313099348
16,1.5019614891000945
17,1.4926849433090523
18,1.499692718950469
19,1.4993121747867624
20,1.4924692823319512
21,1.4935765763444098
22,1.4922511589977883
23,1.4971832427469127
24,1.4964761403508757
25,1.4916236850244609
26,1.4897744060116587
27,1.498426255714144
28,1.499455323562941
29,1.4930860523325202
30,1.4974535148850912
31,1.4908275888607159
32,1.5001478975632605
33,1.4935695784762948
34,1.4929094212542477
35,1.4950540877300145
36,1.4984017378953227
37,1.4954975756424247
38,1.491305196867093
39,1.497817611990457
40,1.4886086655215465
41,1.4880484280388449
42,1.4918973902677182
43,1.4953703767893975
44,1.4977328901293392
45,1.492142526676758
46,1.4963094962374006
47,1.4959453744490938
48,1.4943976330100999
49,1.4920169952658289
