time_step,corrected_at_t0,corrected_at_t1,corrected_at_t2,corrected_at_t3,corrected_at_t4,corrected_at_t5,corrected_at_t6,corrected_at_t7,corrected_at_t8,corrected_at_t9,corrected_at_t10,corrected_at_t11,corrected_at_t12,corrected_at_t13,corrected_at_t14,corrected_at_t15
-1,1.184192981731895,1.2204059396889202,1.1892464284974775,1.25869884313166,1.2486010840221111,1.7051768285250932,3.213668415844753,3.393081091865663,3.570580705385322,4.387024679074379,4.391456972895865,4.552581571287366,3.7247976204551607,4.446215277190998,4.617225676462114,4.618977797571068
0,1.2538909604312478,1.2203287095594086,1.2016170844413676,1.3188154494084452,1.3231549650304495,1.7005709424766384,3.127312235526224,3.4042953182374864,3.766390865267789,4.373436853921094,4.449291598775271,4.557073294339228,3.7010828517799967,4.45646513484932,4.647706352579194,4.619168020521048
1,,1.2208836880438962,1.1806894731870232,1.2310505135544223,1.2459781604208726,1.7016543708861087,3.154686923933814,3.409346661239784,3.657087529855882,4.346959587078661,4.420432699152188,4.528337955489414,3.7715460420751152,4.626011389229356,4.601719229076432,4.619932308239933
2,,,1.3185813054110929,1.1637291527955294,1.323856002705641,1.7020297471107733,3.102089492570399,3.402395703769665,3.627240765647396,4.290109120531712,4.422188984155424,4.522214192948859,3.753764116261178,4.630361623620656,4.6020882035270105,4.619575580320936
3,,,,1.1972200061703204,1.2452788209723615,1.6988443762800298,3.213364464136041,3.4003256740838053,3.7208975586580095,4.2681858395394,4.403306564723123,4.5247692968788265,3.783275526326215,4.441190858446481,4.617045958066675,4.618215379725098
4,,,,,1.3260437561483835,1.6985251511300723,3.127446620050073,3.397091700047099,3.880892261439641,4.268207222860362,4.444119195642159,4.538983004940371,3.734395431270094,4.435565005142983,4.646426276288207,4.619013163644461
5,,,,,,1.699702571032824,3.1556242303927045,3.3990149265305543,4.054466472825717,4.268076990809218,4.388923427286567,4.55040207127242,3.7569607279965527,4.437651907966592,4.599919459955787,4.619720982783345
6,,,,,,,3.102479581585059,3.394934018598432,4.093523854376425,4.294905742119838,4.40328575115687,4.5317029483349165,3.7157661663266,4.593988266739498,4.6004979552299625,4.619180331342819
7,,,,,,,,3.395859557193421,3.967199778968826,4.32961750256971,4.39400004545413,4.530921754249069,3.720256560590975,4.61184674184947,4.615567930289892,4.617380075124754
8,,,,,,,,,3.628751041403365,4.3576587822621855,4.431827464806946,4.553174881558895,3.673145390170239,4.4259323778882935,4.646481050448547,4.617719983970429
9,,,,,,,,,,4.383278663469755,4.388466044770943,4.575591650866671,3.697057676998993,4.425575572781098,4.600219436788311,4.617388672118221
10,,,,,,,,,,,4.410438507285134,4.556402262286637,3.6660264435306624,4.430301730206767,4.601618814792526,4.617135941247577
11,,,,,,,,,,,,4.550382363619479,3.712504898020115,4.607143033458491,4.615824475642474,4.616959471129927
12,,,,,,,,,,,,,3.693382739665303,4.626692715282351,4.647184465647497,4.617579144162689
13,,,,,,,,,,,,,,4.446810128956605,4.601658108730137,4.61740951079654
14,,,,,,,,,,,,,,,4.602698382304494,4.617527384914452
15,,,,,,,,,,,,,,,,4.617313980099798
