Link 296430 ,Link 315945 ,Link 278924 ,Link 320227 ,Link 273098 ,Link 313062 ,Link 322476 ,Link 322481 ,Link 302025 ,Link 296664 ,Link 312191 ,Link 290617 ,Link 303810 ,Link 305388 ,Link 326294 ,Link 318438 ,Link 302269 ,Link 306265 ,Link 302739 ,Link 308554 ,
Output_0,Output_0,Output_0,Output_0,Output_0,Output_0,Output_0,Output_0,Output_0,Output_0,Output_0,Output_0,Output_0,Output_0,Output_0,Output_0,Output_0,Output_0,Output_0,Output_0,
1.000000e-02,1.000000e-02,1.000000e-02,1.000000e-02,1.000000e-02,1.000000e-02,1.000000e-02,1.000000e-02,1.000000e-02,1.000000e-02,1.000000e-02,1.000000e-02,1.000000e-02,1.000000e-02,1.000000e-02,1.000000e-02,1.000000e-02,1.000000e-02,1.000000e-02,1.000000e-02,
2.055632e-02,2.262712e-02,7.934821e-02,1.644831e-02,1.401493e-01,2.212440e-02,1.722057e-02,2.639623e-02,2.084162e-02,1.521391e-02,1.693848e-02,1.419706e-02,2.861278e-02,2.311459e-02,1.465257e-02,2.658310e-02,2.093492e-02,3.189460e-02,3.240531e-02,1.475155e-02,
5.290305e-02,5.631730e-02,2.551597e-01,4.063352e-02,1.116283e+00,5.480609e-02,3.381907e-02,4.331178e-02,7.547255e-02,2.792265e-02,2.857937e-02,2.064979e-02,5.740044e-02,7.955164e-02,1.885895e-02,5.431303e-02,4.960505e-02,8.181032e-02,7.094865e-02,3.449275e-02,
1.369865e-01,1.144723e-01,6.599177e-01,6.917223e-02,4.388507e+00,1.159201e-01,6.123760e-02,5.657391e-02,2.342818e-01,5.385988e-02,3.991938e-02,3.035605e-02,1.188562e-01,2.528669e-01,2.199750e-02,1.210568e-01,8.794349e-02,2.231614e-01,1.028146e-01,1.028541e-01,
3.210810e-01,2.544782e-01,1.549855e+00,1.271377e-01,1.138504e+01,2.975997e-01,1.176886e-01,7.954658e-02,5.997818e-01,1.338425e-01,6.242360e-02,4.907440e-02,2.513801e-01,6.190302e-01,3.745938e-02,2.674312e-01,1.488187e-01,5.760218e-01,1.601114e-01,2.865878e-01,
6.098424e-01,4.597597e-01,3.366141e+00,2.698991e-01,2.326813e+01,7.281863e-01,2.713006e-01,1.493518e-01,1.268745e+00,3.624115e-01,1.533725e-01,7.594706e-02,4.680510e-01,1.267534e+00,7.818132e-02,5.268626e-01,2.516572e-01,1.239413e+00,3.179401e-01,6.611587e-01,
1.019966e+00,7.498938e-01,6.360200e+00,5.769199e-01,4.010331e+01,1.777659e+00,7.767445e-01,3.250965e-01,2.295646e+00,8.854696e-01,3.926420e-01,1.098966e-01,7.877322e-01,2.285614e+00,1.363577e-01,1.051102e+00,4.233054e-01,2.302833e+00,7.676626e-01,1.222845e+00,
1.671289e+00,1.131735e+00,9.978875e+00,9.756897e-01,6.058033e+01,3.638990e+00,1.683742e+00,5.313260e-01,3.631472e+00,1.748329e+00,6.683589e-01,1.514427e-01,1.239769e+00,3.740219e+00,1.974042e-01,2.177682e+00,6.200521e-01,3.716933e+00,1.556836e+00,1.980097e+00,
2.747456e+00,1.667536e+00,1.293830e+01,1.247314e+00,7.966346e+01,6.277612e+00,2.977727e+00,6.658340e-01,5.221001e+00,2.833825e+00,8.618378e-01,2.148360e-01,1.657458e+00,5.609265e+00,2.653695e-01,4.103138e+00,8.002532e-01,5.503911e+00,2.322693e+00,2.780085e+00,
