time_step,analysis_alpha_mean
0,1.2190546990017712
1,1.2213339901242852
2,1.2223371136350116
3,1.223250973500982
4,1.2243538770974087
5,1.2277390849680119
6,1.2333028860945778
7,1.2410234045128288
8,1.2517941095522573
9,1.2667850921054375
10,1.291354844401824
11,1.3230653732712858
12,1.3896601879823265
13,1.5969409416710485
14,2.1275362586072135
15,2.7165127410528953
16,3.3124574918125598
17,3.5312256949288057
18,4.175663552853592
19,4.393249822122537
20,3.9098319821013243
21,4.404795699347432
22,3.8606913750495235
23,3.9246566548600192
24,4.259185091646699
25,4.587909830798482
