history_lag,smoothed_alpha_mean
0,4.207268874772051
1,4.193634512745809
2,4.198798269153857
3,4.209603471505021
4,4.203980138935196
5,4.193877327890657
6,4.201927226929517
7,4.218883205264202
8,4.227259296622441
9,4.222176032490932
10,4.215171047154961
11,4.2207584532071
12,4.218473442561903
13,4.223797964235162
14,4.225640309021049
15,4.205386007958447
16,4.196448443590014
17,4.206601259175309
18,4.199704118899284
19,4.19987417778194
20,4.2059531153775636
21,4.20261329304718
22,4.211042479476175
