Link 296430 ,Link 315945 ,Link 278924 ,Link 320227 ,Link 273098 ,Link 313062 ,Link 322476 ,Link 322481 ,Link 302025 ,Link 296664 ,Link 312191 ,Link 290617 ,Link 303810 ,Link 305388 ,Link 326294 ,Link 318438 ,Link 302269 ,Link 306265 ,Link 302739 ,Link 308554 ,
Output_0,Output_0,Output_0,Output_0,Output_0,Output_0,Output_0,Output_0,Output_0,Output_0,Output_0,Output_0,Output_0,Output_0,Output_0,Output_0,Output_0,Output_0,Output_0,Output_0,
1.000000e-02,1.000000e-02,1.000000e-02,1.000000e-02,1.000000e-02,1.000000e-02,1.000000e-02,1.000000e-02,1.000000e-02,1.000000e-02,1.000000e-02,1.000000e-02,1.000000e-02,1.000000e-02,1.000000e-02,1.000000e-02,1.000000e-02,1.000000e-02,1.000000e-02,1.000000e-02,
1.679418e-02,1.236269e-02,2.694909e-02,1.644983e-02,2.570883e-02,1.644285e-02,1.720801e-02,2.639086e-02,1.471266e-02,1.228413e-02,1.693845e-02,1.099815e-02,1.722623e-02,1.715875e-02,1.330042e-02,1.575408e-02,1.761776e-02,1.250680e-02,3.240742e-02,1.474952e-02,
2.684275e-02,1.358284e-02,4.716296e-02,2.887507e-02,4.236952e-02,2.474250e-02,3.076163e-02,4.020691e-02,2.228990e-02,1.535377e-02,2.857959e-02,1.201745e-02,2.380337e-02,2.432710e-02,1.495680e-02,2.431307e-02,2.579471e-02,1.444053e-02,7.087487e-02,2.027206e-02,
3.339180e-02,1.430972e-02,6.861509e-02,4.099481e-02,6.338270e-02,3.452579e-02,4.573137e-02,4.789770e-02,3.278847e-02,2.111989e-02,3.991105e-02,1.307452e-02,2.841890e-02,3.438307e-02,1.596971e-02,3.736900e-02,3.261157e-02,1.880013e-02,9.895297e-02,2.658253e-02,
3.680253e-02,1.510893e-02,8.874992e-02,4.841306e-02,8.784211e-02,4.472647e-02,5.758549e-02,5.024111e-02,4.377293e-02,3.246314e-02,4.817875e-02,1.420642e-02,3.312976e-02,4.692357e-02,1.717603e-02,5.208840e-02,3.843495e-02,2.579497e-02,1.197372e-01,3.310249e-02,
3.980883e-02,1.654052e-02,1.080256e-01,5.233350e-02,1.124847e-01,5.501520e-02,6.539642e-02,5.093931e-02,5.419339e-02,5.640331e-02,5.363099e-02,1.545745e-02,4.009541e-02,5.953015e-02,1.894600e-02,6.765356e-02,4.450455e-02,3.366142e-02,1.397309e-01,4.033371e-02,
4.451230e-02,1.927417e-02,1.277507e-01,5.498384e-02,1.361592e-01,6.648941e-02,7.072286e-02,5.231506e-02,6.379558e-02,1.064593e-01,5.731729e-02,1.688065e-02,4.875238e-02,7.072616e-02,2.147026e-02,8.434297e-02,5.027134e-02,4.094422e-02,1.610810e-01,4.929520e-02,
5.231754e-02,2.407807e-02,1.476793e-01,5.792361e-02,1.588575e-01,8.098914e-02,7.542079e-02,5.502069e-02,7.264362e-02,1.888069e-01,5.990069e-02,1.853811e-02,5.631858e-02,8.076607e-02,2.469217e-02,1.018026e-01,5.450184e-02,4.715016e-02,1.835471e-01,6.052430e-02,
6.425875e-02,3.163088e-02,1.655075e-01,6.198166e-02,1.810183e-01,9.985653e-02,8.084299e-02,5.868495e-02,8.097652e-02,2.875219e-01,6.156743e-02,2.050130e-02,6.071468e-02,9.109107e-02,2.830066e-02,1.193262e-01,5.679301e-02,5.257747e-02,2.071494e-01,7.396207e-02,
