time_step,analysis_alpha_mean
0,2.5488976909033023
1,2.547313400960246
2,2.5460143194574796
3,2.544461887635339
4,2.544066672391363
5,2.5476716496865035
6,2.5512511375608655
7,2.5506965817684115
8,2.546746807477783
9,2.443138554878994
10,2.408529791483576
11,2.3923238121697517
12,2.384886284855719
13,2.3635430064804526
14,2.335783601037773
15,2.3473498749942276
16,2.2774509474573694
17,2.005243948414884
18,2.1860001142905228
19,2.6195705548959554
20,2.831404581077779
21,3.1592989872370443
22,2.5756367812909824
23,2.8257161429294957
24,3.3848709014475884
25,2.693006227216668
