history_lag,smoothed_alpha_mean
0,2.5051612507113337
1,2.5656201530517233
2,2.4161960504627698
3,2.457851417145993
4,2.466518491445048
5,2.489551797565701
6,2.3969864804038403
7,2.449813977119729
8,2.4805933001004687
9,2.5012691198391157
10,2.4195664005535793
11,2.488765530486656
12,2.4929073953713345
13,2.5335942222784817
14,2.46459652953754
15,2.531947462858966
16,2.520165953851891
17,2.5592179437281453
18,2.4711954200714645
19,2.536071750743752
20,2.5382401287809087
21,2.593082956111686
22,2.45729760351332
23,2.508780029622593
