time_step,forecast_alpha_mean
0,2.5488976909033023
1,2.547313400960246
2,2.5460143194574796
3,2.544461887635339
4,2.544066672391363
5,2.5476691159908693
6,2.550937147214491
7,2.5532995633643565
8,2.558574688873476
9,2.545776345624627
10,2.44534417702045
11,2.4049095217901866
12,2.392435518858563
13,2.372344807157894
14,2.3543122362589193
15,2.33207371835698
16,2.3517458805007894
17,2.2784651054946696
18,2.0010070764916894
19,2.1847544168300197
20,2.617279881424445
21,2.832440422223535
22,3.159060019079373
23,2.576319165225864
24,2.8259830731929667
25,3.385527574857171
