time_step,corrected_at_t0,corrected_at_t1,corrected_at_t2,corrected_at_t3,corrected_at_t4,corrected_at_t5,corrected_at_t6,corrected_at_t7,corrected_at_t8,corrected_at_t9,corrected_at_t10,corrected_at_t11,corrected_at_t12,corrected_at_t13,corrected_at_t14,corrected_at_t15,corrected_at_t16,corrected_at_t17,corrected_at_t18,corrected_at_t19,corrected_at_t20,corrected_at_t21,corrected_at_t22,corrected_at_t23,corrected_at_t24,corrected_at_t25,corrected_at_t26,corrected_at_t27,corrected_at_t28,corrected_at_t29,corrected_at_t30,corrected_at_t31,corrected_at_t32,corrected_at_t33,corrected_at_t34,corrected_at_t35,corrected_at_t36,corrected_at_t37,corrected_at_t38,corrected_at_t39,corrected_at_t40,corrected_at_t41,corrected_at_t42,corrected_at_t43,corrected_at_t44,corrected_at_t45,corrected_at_t46,corrected_at_t47,corrected_at_t48,corrected_at_t49,corrected_at_t50,corrected_at_t51,corrected_at_t52,corrected_at_t53,corrected_at_t54
-1,0.979230696521181,0.979230696521181,0.979230696521181,0.979230696521181,0.979230696521181,0.9792308225153544,0.979636922300216,0.9798157878218255,0.9800628754663732,0.9828973018902224,0.9865147989529964,0.9916148772430724,0.9997570102381232,0.9881856469394458,0.9997158537365736,1.0200159177380863,1.0698854356253655,1.0810459687768863,1.1145693712004556,1.2593052960713278,1.414522035307993,1.8436001386844456,2.7583965429476525,4.611874652694108,3.5048274955514485,2.954426472348189,1.9671750309659968,-0.1649557356338572,-3.429110422928015,-5.8180474473398185,-7.62008737335282,-11.93122536218962,-15.896046580980324,-19.816202511490257,-24.815764173267635,-28.953533994903538,-32.230886871553864,-35.10725269916598,-38.8786863587796,-41.21370735179046,-43.49245580571667,-45.61016386537816,-46.44501844673537,-47.99480416643057,-48.48263332575217,-47.65159124592725,-45.78387806705665,-44.013816133550826,-43.25060788736583,-42.78530401502257,,,,,
0,0.9825598027276088,0.9825598027276088,0.9825598027276088,0.9825598027276088,0.9825598027276088,0.982559968291157,0.9831080770535694,0.9833501536433232,0.9836800368459622,0.9875123709802028,0.9923989508684892,0.9992950312178586,1.01052892520441,0.9929922958424574,1.0063921543025611,1.031208435768709,1.080603659426377,1.09500862023854,1.08581032104541,1.1464389703854052,1.2713243609788762,1.7391946304064323,2.096602606117536,2.475695265222054,1.0940727798799557,1.9370409306775167,1.2608278608750765,-1.2974117788787825,-3.691812246001013,-4.064258754694617,-2.953279274259416,-3.791515059869672,-2.798391322931596,-2.379013590760494,-3.882564132396851,-5.703279967530513,-6.893860996025106,-8.013270585716548,-10.10775570830511,-11.344192729736749,-12.408247889547614,-13.13447347393257,-13.006297239235106,-14.200516805368824,-16.170256513506153,-19.638409071829592,-25.65868899340434,-28.326168737767656,-31.52605691436269,-35.650397177145244,-37.93613544068131,,,,
1,,0.9821639025469454,0.9821639025469454,0.9821639025469454,0.9821639025469454,0.9821641210070352,0.982919383068014,0.9832532626784644,0.9836999852138714,0.988942632398855,0.9956288201058046,1.005010219918541,1.0202284274130538,0.9957453231774036,1.0127929757769392,1.0410287931721591,1.1003731048829732,1.1195907017081204,1.1133440671496613,1.2168284525940836,1.522073932875215,2.059987687219402,2.861723837881972,4.023183720390912,5.128508411558264,8.036863052289714,6.582495273408029,2.4300819908914058,-0.7433967885179726,-2.289445262093736,-1.608250999558632,-3.263114580070738,-1.9846670257096648,-3.156983100798524,-6.1428721353358124,-8.508359760538692,-10.560159392573222,-12.152999440493382,-12.675477683825385,-15.355644792340064,-17.712269311877883,-18.09272926808066,-18.08068603015904,-18.487174176901604,-18.103278255308005,-20.257034683044164,-26.00906598270753,-28.81832500190264,-33.207142828156464,-38.92662942040242,-42.60722369059768,-46.92418628171825,,,
2,,,0.9902294970841762,0.9902294970841762,0.9902294970841762,0.9902297541302656,0.9911135848792209,0.9915038505081726,0.9920329865420072,0.9982339337795918,1.006162400932003,1.0172591802149633,1.0352233793301315,1.008597015315249,1.030608680723731,1.067200144798866,1.1453433844191765,1.169918500975625,1.2192762130442731,1.337599024486267,1.614092334842826,2.305632622750067,3.0518024883178585,3.5481524924481764,2.642088510550637,2.588977403139774,0.7441283772665173,-5.856348532439768,-10.761371707709522,-12.767653658741468,-12.110862771789575,-12.482637895183396,-10.91152248685802,-10.696594415954152,-12.8531451839426,-14.263066215250836,-15.51748805690085,-16.838904043746698,-18.306797392138403,-20.570592457951523,-23.008554346157894,-23.58084452560807,-23.665220807158093,-22.883502902248807,-21.58242055263283,-20.58233557295512,-20.86487635210312,-20.780363605095005,-21.203285763069115,-22.694429066343336,-20.69882301259768,-20.96081640655049,-23.53812958337924,,
3,,,,0.9714924247330976,0.9714924247330976,0.971492724157338,0.9725214913737952,0.9729761744317196,0.9735997785770496,0.980918850520665,0.9903105305472286,1.003460292557259,1.0248691989323364,0.9918339337018384,1.0181124901423932,1.0629861952828124,1.1748893698339276,1.1918622983216398,1.265726588280744,1.3549000076607658,1.6587440939700426,2.399021106950568,3.30094391474341,3.692738664166618,2.203667233563125,0.6633216491340039,-2.286093065863378,-9.640734164316818,-13.149763552136454,-14.412903447332935,-13.435607518307418,-15.187443742290297,-14.4980294192649,-15.232426139672,-17.553055305574922,-18.9422409147496,-19.86164133624544,-20.3686903343764,-21.01704839785135,-22.929132957105217,-24.99860497556108,-25.55433919828919,-26.2042822913638,-27.48223504903272,-28.69911764015576,-29.344106856840167,-32.10588378402429,-34.91519446607224,-38.562871199292175,-43.83542331562191,-45.66733038451967,-46.79470875610684,-52.08158916954708,-53.77161602404771,
4,,,,,0.9863653711966216,0.986365700561464,0.9875233281070996,0.988034410131162,0.9887242306043348,0.9968013456038316,1.0071750261423278,1.0216808684864411,1.0451285568822235,1.0110899696731048,1.041227345721845,1.0953568585058735,1.224925443103685,1.2540183056350769,1.307615660201141,1.4195704153632662,1.7372264815076357,2.6142314670508893,3.766908966808909,3.892509661498521,2.101208312005064,1.592810331293768,2.616894305150959,-2.899463861018785,-3.579392337886798,-4.477574680092875,-4.184376608259448,-8.095102799597491,-8.242285401851126,-8.64460700334836,-10.382161589001663,-11.46822256580118,-12.399001678147108,-12.461299256887168,-12.558908064361855,-14.144488875469758,-15.626104680136423,-15.669767336653305,-15.560913108253148,-14.52494111390408,-13.42856056233282,-10.152789504966783,-8.682549518269104,-9.762224835198946,-12.09464634987697,-16.45850348502455,-20.14844450892741,-22.383753792872184,-27.016299097502507,-29.45985864453476,-32.79832288630646
5,,,,,,0.9955298241366024,0.9968655916178812,0.9974560383508064,0.9982699370018516,1.0078284402117663,1.0201178045195247,1.0373287761433014,1.0654079894968405,1.0226419796539374,1.0576205246815673,1.12063552506896,1.2695711323108072,1.2920107403762473,1.356522182660025,1.5507660480770575,1.8452694617268213,2.438672585011355,3.491840954678957,3.035737118748488,2.776346595826954,4.661749523873145,6.326284595910551,2.972068326050597,4.569069904655743,4.4235592748287385,6.738913399428388,5.495393598347939,7.108122867554864,6.527972490622382,6.353106922209961,6.575885250966825,6.474226237156979,6.765089978527397,7.776330671823237,6.71316910831197,5.855374644800481,5.868729148002196,6.430179508810591,7.937700571814142,10.756062104321238,15.657361551997962,18.55998830078437,20.360066004088765,20.90159613077653,20.601321574471203,18.88969690732922,17.575963593347197,15.25891546690379,13.06087632390128,10.274873396128765
6,,,,,,,0.9890497471202536,0.9896343986646692,0.990489277828387,1.000562879682991,1.0134904524437012,1.0316331434226749,1.0612615044349725,1.0162775233729555,1.0540819285232157,1.12273412338864,1.2830366698051878,1.3091182305285338,1.3831846021765375,1.5291035588853576,1.807943670924619,2.3546672767148937,3.128404296390721,2.178591612321344,0.9492905455958364,3.692788065712712,7.321369817147353,3.874820727270466,3.759770847743255,3.420808765361808,5.852732839618266,5.785028091220603,8.214932564127883,9.292141465421071,9.538685636917071,10.004095762884862,10.311013730503005,10.675415983921797,11.820975784100536,11.884300207118722,11.3958588841349,11.63177444067831,11.736360451486592,11.855806620162667,11.022239874224578,10.587539826005624,9.64486907596125,8.02941053529081,7.848336843360958,9.111592411241263,9.742806412622311,10.306534302988736,10.894891627132274,11.73343252881993,11.360332351507736
7,,,,,,,,0.980896755943076,0.9817856032940988,0.9923253639950704,1.0058490012712582,1.0249100002305525,1.0560558400393487,1.0080552844170836,1.04852458410704,1.1205155714299178,1.2941508142469489,1.324529729170734,1.4142462468013697,1.5571880571470524,1.804111275118064,2.082539439983529,2.336097286641021,1.0824416645106318,-1.178916070770117,0.6375889005184255,2.7213446001416326,-0.3009625321901071,-4.894827627162214,-6.1133565401742604,-7.540241766754602,-8.580518226956546,-9.212349615059852,-9.770115215563209,-9.65593172962236,-9.446126439960883,-9.407268088532822,-9.31025682041744,-8.642127865165964,-8.26679995296265,-7.968563406096599,-7.576985972165991,-6.9665080751235005,-4.889980136819565,-1.809265601960104,1.816399188213108,3.369391110386285,3.93853456696358,3.1766821644948977,2.631589933235553,1.8148812487891863,-0.0172603541717369,0.2623621347824189,-1.1435105494126534,-0.9211455308756062
8,,,,,,,,,0.9815771727570368,0.9926911698997994,1.0069562641736776,1.0271393153070596,1.0602051470207976,1.0090537105407391,1.051963031376243,1.127903215227879,1.3109325303155055,1.3427893768659651,1.4470871080223913,1.6673890649145569,1.836429671291009,1.847647965883716,1.540355505956648,-0.5370767665979546,-3.853110724536624,-0.8946713295224956,2.401738608810037,2.4146323764429063,0.7676428233452781,-0.7735530633538339,-4.201237889186922,-6.307975049862221,-6.999073644764216,-6.022460231957515,-4.463387983441431,-3.0910338627269494,-1.70898435595727,-0.3903098730374326,1.0930437897584582,1.663641112875576,2.844319974979606,3.123366767990012,4.202103618289018,6.614198888715802,9.25534708309932,12.948888004037126,15.979567950849717,18.19483970880588,19.53795792434792,20.6454972455729,21.59328666392529,21.220646520501,21.817427862212654,21.79343234882599,21.959931689763806
