history_lag,smoothed_alpha_mean
0,1.4588995938310527
1,1.4383254769236025
2,1.4339812722706944
3,1.4659818485051743
4,1.4664590993019102
5,1.4479512837311552
6,1.421484544833648
7,1.4395035780821646
8,1.4739592181741048
9,1.4421387332201256
10,1.422488785990961
11,1.4273120156418357
12,1.4254585726431503
13,1.4288723996392256
14,1.4377579642006473
15,1.4231507630713969
16,1.4686745081262433
17,1.5177251812152304
18,1.5218541594870165
19,1.5248626010433284
20,1.486927811428704
21,1.4858889089340375
22,1.4792306965211817
