LINKNO,subw_4,subw_5,subw_6,subw_7,subw_8
53,277,96,60,50,49
67,110,51,48,24,24
69,110,51,48,24,24
70,351,116,69,51,49
94,60,48,12,12,12
95,60,48,12,12,12
101,52,49,16,16,16
104,91,52,49,48,48
105,57,52,49,48,48
109,120,52,49,48,48
111,775,212,86,55,48
113,128,49,16,16,16
117,155,69,49,48,48
120,185,77,49,48,48
127,299,104,63,48,48
128,0,0,0,0,0
135,281,93,61,48,48
142,421,129,61,48,48
144,410,108,64,54,48
156,304,110,66,56,48
168,374,127,73,56,48
170,527,160,78,56,48
179,792,210,66,56,48
260,498,137,58,50,49
262,487,137,58,50,49
270,307,96,60,50,49
273,361,94,59,50,49
277,900,239,65,55,48
279,0,0,0,0,0
289,220,78,52,50,49
290,215,78,52,50,49
291,146,68,52,50,49
292,152,62,48,24,24
293,118,62,48,24,24
294,876,234,90,55,48
296,140,62,48,24,24
301,55,51,48,24,24
302,160,67,52,50,49
304,55,51,48,24,24
306,55,51,48,24,24
309,847,228,89,55,48
310,247,75,55,49,49
314,64,50,21,21,21
315,66,54,50,49,49
317,63,50,21,21,21
318,84,55,50,49,49
319,189,75,55,49,49
320,49,11,11,11,11
321,48,2,2,2,2
325,70,54,50,49,49
326,143,65,50,49,49
328,91,52,49,48,48
329,234,86,57,53,49
330,91,52,49,48,48
333,57,52,49,48,48
335,835,220,65,55,48
337,260,82,57,53,49
338,748,109,65,55,48
339,320,113,67,53,49
340,151,70,49,48,48
341,196,82,57,53,49
344,324,111,62,48,48
350,702,109,65,55,48
351,489,153,75,55,48
353,222,73,54,48,48
354,224,80,54,48,48
358,245,93,61,48,48
359,303,109,65,55,48
360,303,109,65,55,48
361,302,108,64,54,48
364,378,130,61,48,48
365,377,129,61,48,48
366,391,128,71,55,48
368,302,108,64,54,48
369,553,129,61,48,48
371,344,123,72,55,48
376,662,173,77,54,48
378,589,173,77,54,48
380,532,110,66,56,48
382,491,151,77,54,48
389,824,217,87,56,48
390,581,163,76,54,48
391,582,163,76,54,48
392,304,110,66,56,48
394,634,178,66,56,48
395,779,210,66,56,48
401,528,162,76,54,48
404,528,162,76,54,48
405,607,168,73,56,48
408,586,167,73,56,48
418,753,208,82,56,48
487,251,94,59,50,49
490,481,137,58,50,49
492,255,96,60,50,49
494,202,83,58,50,49
497,202,83,58,50,49
498,277,96,60,50,49
499,305,96,60,50,49
503,333,118,58,50,49
504,401,135,69,51,49
513,317,71,53,51,49
514,178,72,51,50,49
515,351,116,69,51,49
516,887,237,65,55,48
517,186,78,52,50,49
519,103,51,48,24,24
520,152,62,48,24,24
524,133,63,48,24,24
525,133,63,48,24,24
526,96,59,51,50,49
528,87,51,48,24,24
530,108,60,52,50,49
531,87,51,48,24,24
532,295,75,55,49,49
534,419,126,56,52,49
538,62,55,50,49,49
539,113,53,50,49,49
540,70,54,50,49,49
541,58,53,50,49,49
542,180,74,55,49,49
543,316,81,56,52,49
544,49,11,11,11,11
545,69,49,16,16,16
546,57,52,49,48,48
548,63,50,21,21,21
549,770,212,86,55,48
550,196,82,57,53,49
551,70,54,50,49,49
552,269,81,56,52,49
553,254,90,56,52,49
554,253,90,56,52,49
555,75,48,12,12,12
557,91,52,49,48,48
558,57,52,49,48,48
561,196,82,57,53,49
562,778,211,65,55,48
563,388,125,68,53,49
564,154,69,49,48,48
565,196,82,57,53,49
568,629,174,80,55,48
569,274,82,57,53,49
570,261,98,62,48,48
571,287,103,63,48,48
573,172,73,54,48,48
575,702,109,65,55,48
577,445,131,71,55,48
581,257,80,54,48,48
582,303,109,65,55,48
583,303,109,65,55,48
584,488,152,65,55,48
585,391,128,71,55,48
588,302,108,64,54,48
589,293,93,61,48,48
590,478,109,65,55,48
592,504,156,65,55,48
593,378,130,61,48,48
594,338,120,65,55,48
595,344,123,72,55,48
599,550,143,74,55,48
600,663,173,77,54,48
601,370,123,72,55,48
602,589,173,77,54,48
604,370,123,72,55,48
606,424,139,73,56,48
607,529,163,76,54,48
610,526,160,78,56,48
612,622,182,77,54,48
613,824,217,87,56,48
614,424,139,73,56,48
615,528,162,76,54,48
616,304,110,66,56,48
618,634,178,66,56,48
620,656,182,77,54,48
621,584,162,76,54,48
623,557,168,73,56,48
625,578,139,73,56,48
626,528,162,76,54,48
628,548,161,78,56,48
629,526,160,78,56,48
632,616,179,82,56,48
635,604,167,73,56,48
636,604,167,73,56,48
657,839,227,85,56,48
708,929,245,92,55,48
711,202,83,58,50,49
713,255,96,60,50,49
714,545,135,69,51,49
715,537,136,69,51,49
716,305,96,60,50,49
718,939,242,91,55,48
721,908,241,92,55,48
722,307,96,60,50,49
723,282,95,59,50,49
725,202,83,58,50,49
727,905,238,65,55,48
728,451,135,69,51,49
735,538,165,79,52,49
736,703,187,83,52,49
737,329,116,69,51,49
738,648,188,79,52,49
739,649,188,79,52,49
740,876,234,90,55,48
741,96,59,51,50,49
742,110,51,48,24,24
743,110,51,48,24,24
744,934,246,91,55,48
745,98,51,48,24,24
746,135,64,52,50,49
748,133,63,48,24,24
749,159,67,52,50,49
750,426,134,70,51,49
752,160,67,52,50,49
754,125,59,51,50,49
755,67,51,48,24,24
756,830,225,65,55,48
758,852,215,86,55,48
760,67,51,48,24,24
762,58,53,50,49,49
763,183,75,55,49,49
764,129,53,50,49,49
765,189,75,55,49,49
766,195,81,56,52,49
768,60,48,12,12,12
769,78,54,50,49,49
770,86,58,50,49,49
771,57,52,49,48,48
772,70,54,50,49,49
773,846,220,65,55,48
774,807,212,86,55,48
775,78,54,50,49,49
776,722,200,80,55,48
777,432,141,67,53,49
778,368,113,67,53,49
779,91,52,49,48,48
780,111,52,49,48,48
781,91,52,49,48,48
782,258,77,49,48,48
784,141,52,49,48,48
785,320,113,67,53,49
787,400,125,68,53,49
788,287,103,63,48,48
789,671,171,80,55,48
790,314,111,62,48,48
791,332,103,63,48,48
792,787,211,65,55,48
793,629,174,80,55,48
794,319,105,57,53,49
795,597,171,80,55,48
796,709,109,65,55,48
797,232,89,49,48,48
801,490,153,75,55,48
805,248,93,61,48,48
807,650,185,81,55,48
808,303,109,65,55,48
809,488,152,65,55,48
812,304,110,66,56,48
813,293,93,61,48,48
814,505,156,65,55,48
816,570,170,74,55,48
817,363,121,66,56,48
819,576,169,74,55,48
821,473,151,77,54,48
822,553,129,61,48,48
824,502,148,72,55,48
826,424,139,73,56,48
828,819,223,88,56,48
830,374,127,73,56,48
831,304,110,66,56,48
836,579,172,66,56,48
837,843,217,87,56,48
838,514,161,78,56,48
839,593,172,66,56,48
841,584,162,76,54,48
842,762,210,66,56,48
843,528,162,76,54,48
844,581,163,76,54,48
845,557,168,73,56,48
847,795,217,87,56,48
848,557,168,73,56,48
849,653,110,66,56,48
850,653,110,66,56,48
852,526,160,78,56,48
853,795,217,87,56,48
854,598,139,73,56,48
856,802,210,66,56,48
857,598,139,73,56,48
859,680,195,85,56,48
860,604,167,73,56,48
864,774,205,85,56,48
874,789,207,82,56,48
878,815,195,85,56,48
933,381,96,60,50,49
936,497,137,58,50,49
937,251,94,59,50,49
938,544,135,69,51,49
940,251,94,59,50,49
942,940,242,91,55,48
943,251,94,59,50,49
944,307,96,60,50,49
946,282,95,59,50,49
947,423,138,58,50,49
949,910,242,91,55,48
953,451,135,69,51,49
954,310,97,60,50,49
957,668,165,79,52,49
959,676,194,83,52,49
960,676,194,83,52,49
961,379,116,69,51,49
962,703,187,83,52,49
963,693,183,83,52,49
965,658,187,83,52,49
966,118,62,48,24,24
967,198,79,52,50,49
969,171,72,51,50,49
970,263,71,53,51,49
972,133,63,48,24,24
973,495,126,56,52,49
974,613,177,56,52,49
975,80,53,50,49,49
976,217,71,53,51,49
977,83,53,50,49,49
978,226,71,53,51,49
979,74,56,50,49,49
980,303,109,65,55,48
981,170,71,53,51,49
982,854,228,89,55,48
983,67,51,48,24,24
984,88,58,50,49,49
985,45,45,45,45,45
986,309,81,56,52,49
987,183,75,55,49,49
988,195,81,56,52,49
989,309,81,56,52,49
992,444,142,67,53,49
993,58,53,50,49,49
994,142,65,50,49,49
995,144,65,50,49,49
996,142,65,50,49,49
998,793,215,86,55,48
999,195,81,56,52,49
1001,804,220,65,55,48
1002,770,212,86,55,48
1003,91,52,49,48,48
1004,325,112,62,48,48
1005,326,112,62,48,48
1006,394,111,62,48,48
1008,154,69,49,48,48
1013,729,204,86,55,48
1014,356,114,68,53,49
1015,274,82,57,53,49
1017,629,174,80,55,48
1018,294,82,57,53,49
1021,232,89,49,48,48
1024,57,52,49,48,48
1025,506,157,75,55,48
1027,285,101,54,48,48
1028,188,80,54,48,48
1029,450,144,75,55,48
1030,346,80,54,48,48
1032,623,176,81,55,48
1033,585,109,65,55,48
1035,302,108,64,54,48
1036,303,109,65,55,48
1037,304,110,66,56,48
1038,669,192,81,55,48
1040,615,175,65,55,48
1041,344,123,72,55,48
1045,443,110,66,56,48
1046,662,173,77,54,48
1048,828,223,88,56,48
1050,550,143,74,55,48
1051,532,110,66,56,48
1052,820,224,88,56,48
1053,491,151,77,54,48
1054,542,164,66,56,48
1055,609,172,66,56,48
1059,621,181,77,54,48
1060,304,110,66,56,48
1062,526,160,78,56,48
1063,304,110,66,56,48
1065,424,139,73,56,48
1067,374,127,73,56,48
1069,827,217,87,56,48
1070,557,168,73,56,48
1072,526,160,78,56,48
1073,827,217,87,56,48
1074,799,219,87,56,48
1076,680,195,85,56,48
1077,795,217,87,56,48
1078,586,167,73,56,48
1083,743,195,85,56,48
1084,743,195,85,56,48
1087,754,196,82,56,48
1092,798,214,85,56,48
1096,773,196,82,56,48
1099,815,195,85,56,48
1101,844,226,85,56,48
1102,815,195,85,56,48
1155,464,94,59,50,49
1157,464,94,59,50,49
1158,381,96,60,50,49
1160,497,137,58,50,49
1161,251,94,59,50,49
1164,909,239,65,55,48
1165,361,94,59,50,49
1166,909,239,65,55,48
1167,361,94,59,50,49
1168,422,137,58,50,49
1170,407,118,58,50,49
1171,423,138,58,50,49
1172,402,136,69,51,49
1173,923,243,92,55,48
1177,451,135,69,51,49
1178,264,95,59,50,49
1179,665,191,79,52,49
1180,146,68,52,50,49
1181,896,234,90,55,48
1182,711,183,83,52,49
1183,625,183,83,52,49
1184,303,109,65,55,48
1185,417,133,70,51,49
