LINKNO,subw_4,subw_5,subw_6,subw_7,subw_8
53,1152,649,539,516,515
67,805,532,519,134,134
69,805,532,519,134,134
70,1226,668,548,517,515
94,577,525,134,134,134
95,577,525,134,134,134
101,579,528,134,134,134
104,104,104,104,104,104
105,701,555,526,514,514
109,904,555,526,514,514
111,1044,624,531,139,139
113,71,71,71,71,71
117,984,608,526,514,514
120,1026,617,526,514,514
127,1175,656,543,514,514
128,2,2,2,2,2
135,1157,645,541,514,514
142,1278,680,541,514,514
144,132,132,132,132,132
156,1180,662,546,522,514
168,360,360,360,360,360
170,1340,700,556,522,514
179,666,527,156,156,156
260,837,542,136,136,136
262,812,542,136,136,136
270,1183,649,539,516,515
273,1233,646,540,516,515
277,1188,663,153,153,153
279,3,3,3,3,3
289,1083,621,530,516,515
290,1075,621,530,516,515
291,972,607,530,516,515
292,575,107,107,107,107
293,835,585,519,134,134
294,103,103,103,103,103
296,40,40,40,40,40
301,610,532,519,134,134
302,989,606,530,516,515
304,610,532,519,134,134
306,610,532,519,134,134
309,862,589,522,153,153
310,1117,616,534,515,515
314,621,530,134,134,134
315,722,557,527,515,515
317,622,530,134,134,134
318,785,560,527,515,515
319,1033,616,534,515,515
320,558,134,134,134,134
321,525,134,134,134,134
325,725,557,527,515,515
326,969,604,527,515,515
328,104,104,104,104,104
329,1101,637,537,519,515
330,104,104,104,104,104
333,701,555,526,514,514
335,781,543,153,153,153
337,1134,628,537,519,515
338,1006,139,139,139,139
339,528,516,516,155,155
340,983,610,526,514,514
341,158,158,158,158,158
344,1198,664,542,514,514
350,919,139,139,139,139
351,759,570,521,170,170
353,1086,613,533,514,514
354,30,30,30,30,30
358,1112,645,541,514,514
359,139,139,139,139,139
360,170,170,170,170,170
361,1178,660,544,520,514
364,1244,679,541,514,514
365,1245,680,541,514,514
366,1255,678,549,521,514
368,1178,660,544,520,514
369,1354,680,541,514,514
371,1217,672,550,521,514
376,937,576,126,126,126
378,778,576,126,126,126
380,1343,662,546,522,514
