LINKNO,subw_4,subw_5,subw_6,subw_7,subw_8
53,487,306,270,260,259
67,305,261,258,68,68
69,305,261,258,68,68
70,561,326,279,261,259
94,262,258,68,68,68
95,262,258,68,68,68
101,263,259,68,68,68
104,309,262,259,258,258
105,276,262,259,258,258
109,337,262,259,258,258
111,985,422,296,265,258
113,319,259,68,68,68
117,367,279,259,258,258
120,395,287,259,258,258
127,509,314,273,258,258
128,1,1,1,1,1
135,491,303,271,258,258
142,631,339,271,258,258
144,620,318,274,264,258
156,514,320,276,266,258
168,584,337,283,266,258
170,737,370,288,266,258
179,1002,420,276,266,258
260,708,347,268,260,259
262,697,347,268,260,259
270,517,306,270,260,259
273,571,304,269,260,259
277,1110,449,275,265,258
279,2,2,2,2,2
289,430,288,262,260,259
290,425,288,262,260,259
291,360,278,262,260,259
292,339,269,258,68,68
293,313,269,258,68,68
294,1086,444,300,265,258
296,333,269,258,68,68
301,267,261,258,68,68
302,372,277,262,260,259
304,267,261,258,68,68
306,267,261,258,68,68
309,1057,438,299,265,258
310,457,285,265,259,259
314,270,260,68,68,68
315,282,264,260,259,259
317,269,260,68,68,68
318,301,265,260,259,259
319,399,285,265,259,259
320,259,68,68,68,68
321,258,68,68,68,68
325,284,264,260,259,259
326,357,275,260,259,259
328,309,262,259,258,258
329,444,296,267,263,259
330,309,262,259,258,258
333,276,262,259,258,258
335,1045,430,275,265,258
337,470,292,267,263,259
338,958,319,275,265,258
339,530,323,277,263,259
340,365,280,259,258,258
341,406,292,267,263,259
344,534,321,272,258,258
350,912,319,275,265,258
351,699,363,285,265,258
353,432,283,264,258,258
354,434,290,264,258,258
358,455,303,271,258,258
359,513,319,275,265,258
360,513,319,275,265,258
361,512,318,274,264,258
364,588,340,271,258,258
365,587,339,271,258,258
366,601,338,281,265,258
368,512,318,274,264,258
369,763,339,271,258,258
371,554,333,282,265,258
376,872,383,287,264,258
378,799,383,287,264,258
380,742,320,276,266,258
382,701,361,287,264,258
389,1034,427,297,266,258
390,791,373,286,264,258
391,792,373,286,264,258
392,514,320,276,266,258
394,844,388,276,266,258
395,989,420,276,266,258
401,738,372,286,264,258
404,738,372,286,264,258
405,817,378,283,266,258
408,796,377,283,266,258
418,963,418,292,266,258
487,461,304,269,260,259
490,691,347,268,260,259
492,465,306,270,260,259
494,412,293,268,260,259
497,412,293,268,260,259
498,487,306,270,260,259
499,515,306,270,260,259
503,543,328,268,260,259
504,611,345,279,261,259
513,527,281,263,261,259
514,388,282,261,260,259
515,561,326,279,261,259
516,1097,447,275,265,258
517,396,288,262,260,259
519,297,261,258,68,68
520,339,269,258,68,68
524,329,270,258,68,68
525,329,270,258,68,68
526,315,271,261,260,259
528,275,261,258,68,68
530,325,272,262,260,259
531,275,261,258,68,68
532,505,285,265,259,259
534,629,336,266,262,259
538,279,265,260,259,259
539,331,263,260,259,259
540,284,264,260,259,259
541,277,263,260,259,259
542,390,284,265,259,259
543,526,291,266,262,259
544,259,68,68,68,68
545,268,259,68,68,68
546,276,262,259,258,258
548,269,260,68,68,68
549,980,422,296,265,258
550,406,292,267,263,259
551,284,264,260,259,259
552,479,291,266,262,259
553,464,300,266,262,259
554,463,300,266,262,259
555,271,258,68,68,68
557,309,262,259,258,258
558,276,262,259,258,258
561,406,292,267,263,259
562,988,421,275,265,258
563,598,335,278,263,259
564,366,279,259,258,258
565,406,292,267,263,259
568,839,384,290,265,258
569,484,292,267,263,259
570,471,308,272,258,258
571,497,313,273,258,258
573,382,283,264,258,258
575,912,319,275,265,258
577,655,341,281,265,258
581,467,290,264,258,258
582,513,319,275,265,258
583,513,319,275,265,258
584,698,362,275,265,258
585,601,338,281,265,258
588,512,318,274,264,258
589,503,303,271,258,258
590,688,319,275,265,258
592,714,366,275,265,258
593,588,340,271,258,258
594,548,330,275,265,258
595,554,333,282,265,258
599,760,353,284,265,258
600,873,383,287,264,258
601,580,333,282,265,258
602,799,383,287,264,258
604,580,333,282,265,258
606,634,349,283,266,258
607,739,373,286,264,258
610,736,370,288,266,258
612,832,392,287,264,258
613,1034,427,297,266,258
614,634,349,283,266,258
615,738,372,286,264,258
616,514,320,276,266,258
618,844,388,276,266,258
620,866,392,287,264,258
621,794,372,286,264,258
623,767,378,283,266,258
625,788,349,283,266,258
626,738,372,286,264,258
628,758,371,288,266,258
629,736,370,288,266,258
632,826,389,292,266,258
635,814,377,283,266,258
636,814,377,283,266,258
657,1049,437,295,266,258
708,1139,455,302,265,258
711,412,293,268,260,259
713,465,306,270,260,259
714,755,345,279,261,259
715,747,346,279,261,259
716,515,306,270,260,259
718,1149,452,301,265,258
721,1118,451,302,265,258
722,517,306,270,260,259
723,492,305,269,260,259
725,412,293,268,260,259
727,1115,448,275,265,258
728,661,345,279,261,259
735,748,375,289,262,259
736,913,397,293,262,259
737,539,326,279,261,259
738,858,398,289,262,259
739,859,398,289,262,259
740,1086,444,300,265,258
741,315,271,261,260,259
742,305,261,258,68,68
743,305,261,258,68,68
744,1144,456,301,265,258
745,290,261,258,68,68
746,351,274,262,260,259
748,329,270,258,68,68
749,371,277,262,260,259
750,636,344,280,261,259
752,372,277,262,260,259
754,344,271,261,260,259
755,273,261,258,68,68
756,1040,435,275,265,258
758,1062,425,296,265,258
760,273,261,258,68,68
762,277,263,260,259,259
763,393,285,265,259,259
764,347,263,260,259,259
765,399,285,265,259,259
766,405,291,266,262,259
768,262,258,68,68,68
769,294,264,260,259,259
770,303,268,260,259,259
771,276,262,259,258,258
772,284,264,260,259,259
773,1056,430,275,265,258
774,1017,422,296,265,258
775,294,264,260,259,259
776,932,410,290,265,258
777,642,351,277,263,259
778,578,323,277,263,259
779,309,262,259,258,258
780,327,262,259,258,258
781,309,262,259,258,258
782,468,287,259,258,258
784,355,262,259,258,258
785,530,323,277,263,259
787,610,335,278,263,259
788,497,313,273,258,258
789,881,381,290,265,258
790,524,321,272,258,258
791,542,313,273,258,258
792,997,421,275,265,258
793,839,384,290,265,258
794,529,315,267,263,259
795,807,381,290,265,258
796,919,319,275,265,258
797,442,299,259,258,258
801,700,363,285,265,258
805,458,303,271,258,258
807,860,395,291,265,258
808,513,319,275,265,258
809,698,362,275,265,258
812,514,320,276,266,258
813,503,303,271,258,258
814,715,366,275,265,258
816,780,380,284,265,258
817,573,331,276,266,258
819,786,379,284,265,258
821,683,361,287,264,258
822,763,339,271,258,258
824,712,358,282,265,258
826,634,349,283,266,258
828,1029,433,298,266,258
830,584,337,283,266,258
831,514,320,276,266,258
836,789,382,276,266,258
837,1053,427,297,266,258
838,724,371,288,266,258
839,803,382,276,266,258
841,794,372,286,264,258
842,972,420,276,266,258
843,738,372,286,264,258
844,791,373,286,264,258
845,767,378,283,266,258
847,1005,427,297,266,258
848,767,378,283,266,258
849,863,320,276,266,258
850,863,320,276,266,258
852,736,370,288,266,258
853,1005,427,297,266,258
854,808,349,283,266,258
856,1012,420,276,266,258
857,808,349,283,266,258
859,890,405,295,266,258
860,814,377,283,266,258
864,984,415,295,266,258
874,999,417,292,266,258
878,1025,405,295,266,258
933,591,306,270,260,259
936,707,347,268,260,259
937,461,304,269,260,259
938,754,345,279,261,259
940,461,304,269,260,259
942,1150,452,301,265,258
943,461,304,269,260,259
944,517,306,270,260,259
946,492,305,269,260,259
947,633,348,268,260,259
949,1120,452,301,265,258
953,661,345,279,261,259
954,520,307,270,260,259
957,878,375,289,262,259
959,886,404,293,262,259
960,886,404,293,262,259
961,589,326,279,261,259
962,913,397,293,262,259
963,903,393,293,262,259
965,868,397,293,262,259
966,313,269,258,68,68
967,408,289,262,260,259
969,381,282,261,260,259
970,473,281,263,261,259
972,329,270,258,68,68
973,705,336,266,262,259
974,823,387,266,262,259
975,296,263,260,259,259
976,427,281,263,261,259
977,300,263,260,259,259
978,436,281,263,261,259
979,289,266,260,259,259
980,513,319,275,265,258
981,380,281,263,261,259
982,1064,438,299,265,258
983,273,261,258,68,68
984,306,268,260,259,259
985,68,68,68,68,68
986,519,291,266,262,259
987,393,285,265,259,259
988,405,291,266,262,259
989,519,291,266,262,259
992,654,352,277,263,259
993,277,263,260,259,259
994,356,275,260,259,259
995,358,275,260,259,259
996,356,275,260,259,259
998,1003,425,296,265,258
999,405,291,266,262,259
1001,1014,430,275,265,258
1002,980,422,296,265,258
1003,309,262,259,258,258
1004,535,322,272,258,258
1005,536,322,272,258,258
1006,604,321,272,258,258
1008,366,279,259,258,258
1013,939,414,296,265,258
1014,566,324,278,263,259
1015,484,292,267,263,259
1017,839,384,290,265,258
1018,504,292,267,263,259
1021,442,299,259,258,258
1024,276,262,259,258,258
1025,716,367,285,265,258
1027,495,311,264,258,258
1028,398,290,264,258,258
1029,660,354,285,265,258
1030,556,290,264,258,258
1032,833,386,291,265,258
1033,795,319,275,265,258
1035,512,318,274,264,258
1036,513,319,275,265,258
1037,514,320,276,266,258
1038,879,402,291,265,258
1040,825,385,275,265,258
1041,554,333,282,265,258
1045,653,320,276,266,258
1046,872,383,287,264,258
1048,1038,433,298,266,258
1050,760,353,284,265,258
1051,742,320,276,266,258
1052,1030,434,298,266,258
1053,701,361,287,264,258
1054,752,374,276,266,258
1055,819,382,276,266,258
1059,831,391,287,264,258
1060,514,320,276,266,258
1062,736,370,288,266,258
1063,514,320,276,266,258
1065,634,349,283,266,258
1067,584,337,283,266,258
1069,1037,427,297,266,258
1070,767,378,283,266,258
1072,736,370,288,266,258
1073,1037,427,297,266,258
1074,1009,429,297,266,258
1076,890,405,295,266,258
1077,1005,427,297,266,258
1078,796,377,283,266,258
