LINKNO,subw_4,subw_5,subw_6,subw_7,subw_8
308545,1,1,1,1,1
308321,1,1,1,1,1
18465,1,1,1,1,1
308097,2,1,1,1,1
286594,3,1,1,1,1
307873,2,1,1,1,1
124417,2,1,1,1,1
283234,3,1,1,1,1
229698,3,1,1,1,1
307649,2,1,1,1,1
44001,2,1,1,1,1
272929,3,1,1,1,1
6370,3,1,1,1,1
229474,3,1,1,1,1
45346,3,1,1,1,1
284128,2,1,1,1,1
104925,2,1,1,1,1
271809,3,1,1,1,1
222754,3,1,1,1,1
221186,3,1,1,1,1
184226,3,1,1,1,1
314367,2,1,1,1,1
4577,2,1,1,1,1
273602,3,1,1,1,1
268897,3,1,1,1,1
222082,3,1,1,1,1
23618,3,1,1,1,1
210434,3,1,1,1,1
172355,3,1,1,1,1
169442,3,1,1,1,1
6146,3,1,1,1,1
314143,2,1,1,1,1
113663,2,1,1,1,1
272258,3,1,1,1,1
215810,3,1,1,1,1
246721,3,1,1,1,1
40641,3,1,1,1,1
210882,3,1,1,1,1
89250,3,1,1,1,1
136067,3,1,1,1,1
106723,3,1,1,1,1
128675,3,1,1,1,1
104931,3,1,1,1,1
164738,3,1,1,1,1
105154,3,1,1,1,1
313919,2,1,1,1,1
41535,2,1,1,1,1
269570,3,1,1,1,1
120386,3,1,1,1,1
200802,3,1,1,1,1
56322,3,1,1,1,1
244705,3,1,1,1,1
150176,3,1,1,1,1
193634,3,1,1,1,1
87458,3,1,1,1,1
153986,3,1,1,1,1
153762,3,1,1,1,1
313695,2,1,1,1,1
258815,2,1,1,1,1
268002,3,1,1,1,1
181763,3,1,1,1,1
113891,3,1,1,1,1
123746,3,1,1,1,1
227233,3,1,1,1,1
85440,3,1,1,1,1
163171,3,1,1,1,1
14659,3,1,1,1,1
316158,2,1,1,1,1
13087,2,1,1,1,1
255231,2,1,1,1,1
57215,2,1,1,1,1
267330,3,1,1,1,1
68194,3,1,1,1,1
158467,3,1,1,1,1
139427,3,1,1,1,1
192738,3,1,1,1,1
138977,3,1,1,1,1
50051,3,1,1,1,1
42211,3,1,1,1,1
315934,4,1,1,1,1
272927,5,1,1,1,1
249631,2,1,1,1,1
91935,2,1,1,1,1
263074,3,1,1,1,1
103362,3,1,1,1,1
177057,3,1,1,1,1
12642,3,1,1,1,1
303836,6,2,1,1,1
298910,7,3,1,1,1
272255,5,1,1,1,1
73567,5,1,1,1,1
7936,2,1,1,1,1
41312,2,1,1,1,1
266657,3,1,1,1,1
225218,3,1,1,1,1
106721,3,1,1,1,1
106497,3,1,1,1,1
303612,6,2,1,1,1
70428,6,2,1,1,1
296223,7,3,1,1,1
209309,7,3,1,1,1
267103,5,1,1,1,1
57439,5,1,1,1,1
266433,3,1,1,1,1
192513,3,1,1,1,1
58115,3,1,1,1,1
28323,3,1,1,1,1
300923,8,2,1,1,1
283228,9,2,1,1,1
295999,7,3,1,1,1
229022,7,3,1,1,1
57436,7,3,1,1,1
82525,7,3,1,1,1
265311,5,1,1,1,1
320,5,1,1,1,1
266209,3,1,1,1,1
253889,3,1,1,1,1
66178,3,1,1,1,1
149505,3,1,1,1,1
300699,8,2,1,1,1
261276,8,2,1,1,1
277851,9,2,1,1,1
99100,9,2,1,1,1
294879,838,3,1,1,1
289503,839,3,1,1,1
227230,7,3,1,1,1
4127,7,3,1,1,1
264415,5,1,1,1,1
59903,5,1,1,1,1
265985,3,1,1,1,1
126881,3,1,1,1,1
252097,3,1,1,1,1
157121,3,1,1,1,1
300475,10,4,1,1,1
298463,11,5,1,1,1
259036,8,2,1,1,1
54076,8,2,1,1,1
277627,9,2,1,1,1
192955,9,2,1,1,1
292863,940,3,1,1,1
278751,941,3,1,1,1
296670,839,3,1,1,1
188479,839,3,1,1,1
226334,7,3,1,1,1
139422,7,3,1,1,1
261951,5,1,1,1,1
245823,5,1,1,1,1
265761,3,1,1,1,1
166979,3,1,1,1,1
233504,3,1,1,1,1
226337,3,1,1,1,1
67745,3,1,1,1,1
63713,3,1,1,1,1
300251,10,4,1,1,1
14428,10,4,1,1,1
298239,11,5,1,1,1
225439,11,5,1,1,1
266877,8,2,1,1,1
176604,8,2,1,1,1
277179,9,2,1,1,1
271579,9,2,1,1,1
63482,9,2,1,1,1
157115,9,2,1,1,1
292415,940,3,1,1,1
220066,940,3,1,1,1
275169,941,3,1,1,1
251647,941,3,1,1,1
296446,839,3,1,1,1
86334,839,3,1,1,1
152638,839,3,1,1,1
31231,839,3,1,1,1
125085,7,3,1,1,1
109854,7,3,1,1,1
216704,5,1,1,1,1
3680,5,1,1,1,1
232383,5,1,1,1,1
226559,5,1,1,1,1
265537,3,1,1,1,1
23842,3,1,1,1,1
42435,3,1,1,1,1
19363,3,1,1,1,1
232384,3,1,1,1,1
207296,3,1,1,1,1
217153,3,1,1,1,1
16225,3,1,1,1,1
300027,12,4,1,1,1
266652,13,4,1,1,1
298015,11,5,1,1,1
76479,11,5,1,1,1
39519,11,5,1,1,1
169886,11,5,1,1,1
262173,8,2,1,1,1
166525,8,2,1,1,1
151516,8,2,1,1,1
30556,8,2,1,1,1
276283,9,2,1,1,1
63035,9,2,1,1,1
271130,9,2,1,1,1
237755,9,2,1,1,1
37723,9,2,1,1,1
11291,9,2,1,1,1
292865,940,3,1,1,1
230592,940,3,1,1,1
216482,940,3,1,1,1
